,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
234,No Data,"6 (Jan 28, 2020)","Kingsway Real Estate, Brokerage",50.00 x 96.4 Feet,C4677519,No Data,2-Storey,"$6,079 /yr",Detached,21,276 Yonge Boulevard,Toronto,Bedford Park-nortown,"$1,799,900 ",,,,,
235,No Data,"6 (Jan 28, 2020)","Re/max Ultimate Realty Inc., Brokerage",35.01 x 110 Feet,W4677440,No Data,2-Storey,"$2,906 /yr",Detached,39,110 Richardson Avenue,Toronto,Beechborough-greenbrook,"$1,499,000 ",,,,,
236,No Data,"6 (Jan 28, 2020)","Re/max Hallmark Realty Ltd., Brokerage",93.42 x 120.1 Feet,E4677435,3000-3500 sqft,2-Storey,"$7,104 /yr",Detached,46,7 Clydebank Boulevard,Toronto,L'amoreaux,"$1,799,000 ",,,,,
237,No Data,"6 (Jan 28, 2020)","Re/max Hallmark Batori Group Inc., Brokerage",41.36 x 111.68 Feet,C4677482,3000-3500 sqft,2-Storey,"$7,781 /yr",Detached,37,87 Bowring Walk,Toronto,Clanton Park,"$1,999,995 ",,,,,
238,No Data,"6 (Jan 28, 2020)","Paul Zammit Real Estate Ltd., Brokerage",25.00 x 145 Feet,C4677431,No Data,2-Storey,"$8,865 /yr",Detached,80,545 Soudan Avenue,Toronto,Mount Pleasant East,"$2,799,000 ",,,,,
239,No Data,"6 (Jan 28, 2020)","Royal Lepage Supreme Realty, Brokerage",45.00 x 114 Feet,W4677403,No Data,Bungalow,"$3,489 /yr",Detached,51,118 Elmhurst Drive,Toronto,Rexdale-kipling,"$899,000 ",,,,,
240,51-99 years,"6 (Jan 28, 2020)","Royal Lepage Your Community Realty, Brokerage",23.78 x 100.12 Feet,E4677413,No Data,2-Storey,"$4,260 /yr",Detached,97,24 Woodmount Avenue,Toronto,Danforth Village-east York,"$999,000 ",,,,,
241,No Data,"6 (Jan 28, 2020)","Royal Lepage Supreme Realty, Brokerage",40.00 x 140 Feet,W4677389,No Data,Sidesplit 3,"$2,633 /yr",Detached,27,1 Lagos Road,Toronto,Rexdale-kipling,"$849,900 ",,,,,
242,New,"6 (Jan 28, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.01 x 131.3 Feet,C4677393,3500-5000 sqft,2-Storey,"$4,782 /yr",Detached,57,141 Yeomans Road,Toronto,Clanton Park,"$2,599,000 ",,,,,
243,No Data,"6 (Jan 28, 2020)","Bosley Real Estate Ltd., Brokerage",36.00 x 100 Feet,C4677376,2000-2500 sqft,2-Storey,"$10,373 /yr",Detached,72,292 Laird Drive,Toronto,Leaside,"$2,249,000 ",,,,,
244,100 years,"6 (Jan 28, 2020)","Sutton Group Realty Systems Inc., Brokerage",25.00 x 132.91 Feet,W4677360,No Data,Bungalow,"$2,115 /yr",Detached,84,357 Silverthorn Avenue,Toronto,Keelesdale-eglinton West,"$500,000 ",,,,,
245,No Data,"6 (Jan 28, 2020)","Re/max Realtron Bill Thom Group Realty Inc., Brokerage",50.50 x 122.2 Feet,C4677345,No Data,Bungalow,"$5,815 /yr",Detached,25,30 Elynhill Drive,Toronto,Willowdale West,"$1,499,000 ",,,,,
246,6-15 years,"6 (Jan 28, 2020)","Re/max West Realty Inc., Brokerage",45.00 x 120 Feet,W4677334,No Data,2-Storey,"$6,185 /yr",Detached,79,2 Yorkleigh Avenue,Toronto,Humber Heights,"$1,847,700 ",,,,,
247,16-30 years,"6 (Jan 28, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 110 Feet,C4677327,No Data,2-Storey,"$8,970 /yr",Detached,83,66 Latimer Avenue,Toronto,Forest Hill North,"$2,195,000 ",,,,,
248,No Data,"6 (Jan 27, 2020)","Real Estate Homeward, Brokerage",29.00 x 255 Feet,E4677310,2500-3000 sqft,2-Storey,"$5,120 /yr",Detached,70,78 Victoria Park Avenue,Toronto,The Beaches,"$1,999,000 ",,,,,
249,No Data,"6 (Jan 27, 2020)","Capital City Realty Limited, Brokerage",60.42 x 122.94 Feet,C4677315,No Data,Sidesplit 4,"$5,227 /yr",Detached,21,15 Palm Drive,Toronto,Clanton Park,"$1,199,000 ",,,,,
250,No Data,"6 (Jan 27, 2020)","Desai Realty Inc., Brokerage",23.00 x 70 Feet,E4677292,No Data,3-Storey,"$6,565 /yr",Detached,76,1 Balmy Avenue,Toronto,The Beaches,"$1,799,900 ",,,,,
251,New,"6 (Jan 27, 2020)","Century 21 People`s Choice Realty Inc., Brokerage",30.25 x 137.66 Feet,E4677273,2500-3000 sqft,2-Storey,No Data,Detached,36,579 Kennedy Road,Toronto,Kennedy Park,"$1,298,000 ",,,,,
252,0-5 years,"7 (Jan 27, 2020)","Royal Lepage Signature Realty, Brokerage",25.46 x 106.53 Feet,E4677257,No Data,2-Storey,"$4,273 /yr",Detached,74,65 Maybourne Avenue,Toronto,Clairlea-birchmount,"$1,350,000 ",,,,,
253,No Data,"7 (Jan 27, 2020)","Re/max All-stars Realty Inc., Brokerage",44.75 x 112 Feet,E4677256,No Data,Bungalow,"$3,204 /yr",Detached,67,57 Rochman Boulevard,Toronto,Woburn,"$699,900 ",,,,,
254,51-99 years,"7 (Jan 27, 2020)","Real Estate Homeward, Brokerage",25.92 x 93 Feet,E4677179,No Data,Bungalow,"$3,782 /yr",Detached,77,18 Bowmore Road,Toronto,Woodbine Corridor,"$789,000 ",,,,,
255,6-15 years,"7 (Jan 27, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",21.23 x 89.67 Feet,W4677165,No Data,2-Storey,"$8,161 /yr",Detached,79,12 Mossom Road,Toronto,High Park-swansea,"$2,375,000 ",,,,,
256,No Data,"7 (Jan 27, 2020)","Income Plus Realty Services Inc., Brokerage",51.65 x 117 Feet,W4677115,No Data,Bungalow,"$4,270 /yr",Detached,55,166 La Rose Avenue,Toronto,Humber Heights,"$1,299,900 ",,,,,
257,0-5 years,"7 (Jan 27, 2020)","Aleksic Realty Inc., Brokerage",66.57 x 216.57 Feet,W4677067,5000 sqft,2-Storey,"$25,382 /yr",Detached,28,185 Edenbridge Drive,Toronto,Edenbridge-humber Valley,"$4,998,888 ",,,,,
258,6-15 years,"7 (Jan 27, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",45.00 x 158 Feet,W4677034,3500-5000 sqft,2-Storey,"$13,075 /yr",Detached,60,14 Wimbleton Crescent,Toronto,Edenbridge-humber Valley,"$3,400,000 ",,,,,
259,No Data,"7 (Jan 27, 2020)","Royal Lepage/j & D Division, Brokerage",163.00 x 343.91 Feet,E4677018,No Data,1 1/2 Storey,"$3,745 /yr",Detached,13,5297 Lawrence Avenue,Toronto,Centennial Scarborough,"$1,298,000 ",,,,,
260,No Data,"7 (Jan 27, 2020)","Re/max Realtron Realty Inc., Brokerage",30.00 x 122 Feet,E4676955,No Data,2-Storey,"$3,200 /yr",Detached,73,502 Mortimer Avenue,Toronto,Danforth Village-east York,"$899,000 ",,,,,
261,No Data,"7 (Jan 27, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",40.83 x 130 Feet,C4676957,No Data,2-Storey,"$12,489 /yr",Detached,29,330 Brooke Avenue,Toronto,Bedford Park-nortown,"$2,595,000 ",,,,,
262,16-30 years,"7 (Jan 27, 2020)","Sotheby`s International Realty Canada, Brokerage",176.14 x 50.1 Feet,C4676938,3500-5000 sqft,2 1/2 Storey,"$16,528 /yr",Detached,20,5 St. Edmund's Drive,Toronto,Lawrence Park North,"$3,999,000 ",,,,,
263,51-99 years,"7 (Jan 27, 2020)","Ipro Realty Ltd., Brokerage",51.75 x 135.41 Feet,W4676863,No Data,Bungalow,"$2,253 /yr",Detached,42,416 Albion Road,Toronto,Elms-old Rexdale,"$699,000 ",,,,,
264,No Data,"7 (Jan 27, 2020)","Royal Lepage Exceptional Real Estate Services, Brokerage",16.67 x 94.91 Feet,E4676882,No Data,2-Storey,"$2,467 /yr",Detached,88,254 Cedarvale Avenue,Toronto,Woodbine-lumsden,"$899,000 ",,,,,
265,No Data,"7 (Jan 27, 2020)","Re/max Community Realty Inc., Brokerage",40.00 x 156 Feet,E4676851,No Data,Backsplit 3,"$3,294 /yr",Detached,55,30 Hurley Crescent,Toronto,Bendale,"$699,000 ",,,,,
266,100 years,"7 (Jan 27, 2020)","Sotheby`s International Realty Canada, Brokerage",30.00 x 137.5 Feet,C4676857,3500-5000 sqft,3-Storey,"$10,162 /yr",Detached,84,66 Brunswick Avenue,Toronto,University,"$4,950,000 ",,,,,
267,No Data,"7 (Jan 27, 2020)","Home Land Plus Realty Ltd., Brokerage",25.00 x 150 Feet,C4676837,No Data,2-Storey,"$6,600 /yr",Detached,79,314 St Germain Avenue,Toronto,Lawrence Park North,"$1,799,000 ",,,,,
268,51-99 years,"7 (Jan 27, 2020)","Re/max Hallmark Realty Ltd., Brokerage",45.00 x 112 Feet,E4676794,No Data,Bungalow,"$3,449 /yr",Detached,70,40 Greylawn Crescent,Toronto,Wexford-maryvale,"$748,888 ",,,,,
269,No Data,"7 (Jan 27, 2020)","Homelife/gta Realty Inc., Brokerage",30.02 x 125.2 Feet,W4676709,2000-2500 sqft,2-Storey,"$4,653 /yr",Detached,31,98 Falstaff Avenue,Toronto,Rustic,"$1,250,000 ",,,,,
270,No Data,"7 (Jan 27, 2020)","Chestnut Park Real Estate Limited, Brokerage",29.99 x 161.42 Feet,C4676729,No Data,2 1/2 Storey,"$9,683 /yr",Detached,73,31 Wells Hill Avenue,Toronto,Casa Loma,"$2,095,000 ",,,,,
271,New,"7 (Jan 27, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",59.13 x 112.17 Feet,C4676701,No Data,2-Storey,No Data,Detached,51,110 Bayview Rdge,Toronto,Bridle Path-sunnybrook-york Mills,"$4,480,000 ",,,,,
272,0-5 years,"7 (Jan 27, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",35.01 x 120 Feet,W4676610,2500-3000 sqft,2-Storey,"$11,375 /yr",Detached,47,61 Princeton Road,Toronto,Kingsway South,"$2,549,900 ",,,,,
273,No Data,"7 (Jan 27, 2020)","Right At Home Realty Inc., Brokerage",25.00 x 103.37 Feet,W4676584,No Data,Bungalow,"$2,732 /yr",Detached,55,121 Kitchener Avenue,Toronto,Caledonia-fairbank,"$849,500 ",,,,,
274,No Data,"7 (Jan 27, 2020)","Forest Hill Real Estate Inc., Brokerage",58.50 x 131.5 Feet,C4676586,3500-5000 sqft,2-Storey,"$12,149 /yr",Detached,64,218 Hollywood Avenue,Toronto,Willowdale East,"$2,688,000 ",,,,,
275,0-5 years,"7 (Jan 27, 2020)","Forest Hill Real Estate Inc., Brokerage",40.00 x 115 Feet,C4676555,3000-3500 sqft,2-Storey,"$13,171 /yr",Detached,40,273 Joicey Boulevard,Toronto,Bedford Park-nortown,"$2,985,000 ",,,,,
276,No Data,"7 (Jan 27, 2020)","Ipro Realty Ltd., Brokerage",25.00 x 138.33 Feet,W4676470,No Data,2-Storey,"$3,105 /yr",Detached,47,329 Nairn Avenue,Toronto,Caledonia-fairbank,"$1,099,000 ",,,,,
277,6-15 years,"7 (Jan 27, 2020)","Royal Lepage Ignite Realty, Brokerage",53.90 x 142.88 Feet,E4676533,2000-2500 sqft,2-Storey,"$4,781 /yr",Detached,37,66 Lampman Drive,Toronto,Morningside,"$999,800 ",,,,,
278,No Data,"7 (Jan 27, 2020)","Sutton Group-admiral Realty Inc., Brokerage",33.33 x 120 Feet,E4676502,No Data,Bungalow,"$3,702 /yr",Detached,48,7 Ferncroft Drive,Toronto,Birchcliffe-cliffside,"$1,149,000 ",,,,,
279,6-15 years,"7 (Jan 27, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",30.00 x 125 Feet,C4676544,2500-3000 sqft,2-Storey,"$12,477 /yr",Detached,74,173 Joicey Boulevard,Toronto,Bedford Park-nortown,"$2,195,000 ",,,,,
280,No Data,"7 (Jan 27, 2020)","Sutton Group-admiral Realty Inc., Brokerage",50.00 x 150 Feet,C4676543,No Data,2-Storey,"$13,498 /yr",Detached,63,76 Dinnick Crescent,Toronto,Lawrence Park North,"$3,595,000 ",,,,,
281,No Data,"7 (Jan 27, 2020)","Sutton Group-associates Realty Inc., Brokerage",40.00 x 133 Feet,C4676492,No Data,Bungalow,"$5,939 /yr",Detached,78,658 Bedford Park Avenue,Toronto,Bedford Park-nortown,"$1,750,000 ",,,,,
282,31-50 years,"7 (Jan 27, 2020)","Realty Executives Experts Inc., Brokerage",67.00 x 155 Feet,C4676479,3500-5000 sqft,Backsplit 4,"$7,500 /yr",Detached,28,8 George Henry Boulevard,Toronto,Henry Farm,"$1,999,800 ",,,,,
283,No Data,"7 (Jan 27, 2020)","Re/max Ultimate Realty Inc., Brokerage",35.00 x 148 Feet,C4676441,No Data,2-Storey,"$15,011 /yr",Detached,73,316 Warren Road,Toronto,Forest Hill South,"$3,998,000 ",,,,,
284,No Data,"7 (Jan 27, 2020)","Royal Lepage Exceptional Real Estate Services, Brokerage",52.00 x 111.21 Feet,C4676421,No Data,Sidesplit 4,"$5,280 /yr",Detached,45,76 Overbank Crescent,Toronto,Parkwoods-donalda,"$1,259,000 ",,,,,
285,51-99 years,"7 (Jan 27, 2020)","Quintillion Realty Inc., Brokerage",138.00 x 40 Feet,E4676399,700-1100 sqft,Bungalow,"$2,960 /yr",Detached,82,15 Shawford Crescent,Toronto,Woburn,"$759,000 ",,,,,
286,31-50 years,"7 (Jan 27, 2020)","Royal Heritage Realty Ltd., Brokerage",45.20 x 110.83 Feet,E4676396,2500-3000 sqft,Backsplit 5,"$3,739 /yr",Detached,55,30 Greendowns Drive,Toronto,Scarborough Village,"$899,000 ",,,,,
287,No Data,"7 (Jan 26, 2020)","Re/max Royal Properties Realty, Brokerage",60.37 x 158.5 Feet,E4676392,No Data,Bungalow,"$3,295 /yr",Detached,32,11 Deep Dene Drive,Toronto,Highland Creek,"$899,900 ",,,,,
288,No Data,"7 (Jan 26, 2020)","Nu Stream Realty (toronto) Inc., Brokerage",21.32 x 82.48 Feet,E4676391,No Data,2-Storey,"$2,862 /yr",Detached,59,67 West Burton Court,Toronto,Agincourt South-malvern West,"$649,000 ",,,,,
289,51-99 years,"7 (Jan 26, 2020)","Royal Lepage Urban Realty, Brokerage",33.01 x 84 Feet,E4676387,No Data,Bungalow,"$3,347 /yr",Detached,71,194 Linsmore Crescent,Toronto,Danforth Village-east York,"$799,000 ",,,,,
290,New,"8 (Jan 26, 2020)","Royal Lepage/j & D Division, Brokerage",59.00 x 128 Feet,C4676280,5000 sqft,2-Storey,"$7,134 /yr",Detached,39,311 Hillhurst Boulevard,Toronto,Englemount-lawrence,"$4,995,000 ",,,,,
291,No Data,"8 (Jan 26, 2020)","Century 21 People`s Choice Realty Inc., Brokerage",No Data,E4676267,1500-2000 sqft,2-Storey,"$2,780 /yr",Detached,15,16 Whispering Willow Pathway,Toronto,Malvern,"$699,999 ",,,,,
292,No Data,"9 (Jan 25, 2020)","Right At Home Realty Inc., Brokerage",30.51 x 139.89 Feet,W4676144,No Data,Backsplit 4,"$7,328 /yr",Detached,54,7 Eleventh Street,Toronto,New Toronto,"$2,799,000 ",,,,,
293,No Data,"10 (Jan 24, 2020)","Chestnut Park Real Estate Limited, Brokerage",50.00 x 158.3 Feet,C4675742,No Data,3-Storey,"$15,305 /yr",Detached,55,62 Russell Hill Road,Toronto,Casa Loma,"$4,280,000 ",,,,,
294,No Data,"10 (Jan 24, 2020)","Re/max Ultimate Realty Inc., Brokerage",28.00 x 135 Feet,C4675535,No Data,Bungalow,"$8,499 /yr",Detached,89,35 Fleming Crescent,Toronto,Leaside,"$1,299,000 ",,,,,
295,New,"10 (Jan 24, 2020)","Homelife Landmark Realty Inc., Brokerage",50.00 x 120 Feet,C4675532,3500-5000 sqft,2-Storey,No Data,Detached,59,323 Maplehurst Avenue,Toronto,Willowdale East,"$3,588,000 ",,,,,
296,16-30 years,"10 (Jan 24, 2020)","Royal Lepage Terrequity Realty, Brokerage",85.00 x 150 Feet,W4675324,No Data,2-Storey,"$17,833 /yr",Detached,19,12 Edenbrook Hill,Toronto,Edenbridge-humber Valley,"$4,899,000 ",,,,,
297,No Data,"10 (Jan 24, 2020)","Re/max Crossroads Realty Inc., Brokerage",26.00 x 125 Feet,W4675249,2000-2500 sqft,2-Storey,"$4,622 /yr",Detached,64,131 Bowie Avenue,Toronto,Briar Hill-belgravia,"$1,399,000 ",,,,,
298,No Data,"10 (Jan 24, 2020)","Soltanian Real Estate Inc., Brokerage",40.00 x 126.5 Feet,C4675282,No Data,2-Storey,"$9,643 /yr",Detached,62,139 Cameron Avenue,Toronto,Lansing-westgate,"$2,588,000 ",,,,,
299,No Data,"10 (Jan 24, 2020)","Re/max Realtron Barina Realty Inc., Brokerage",36.00 x 152 Feet,C4675267,No Data,Bungalow,"$4,969 /yr",Detached,64,118 Hendon Avenue,Toronto,Newtonbrook West,"$1,260,000 ",,,,,
300,No Data,"10 (Jan 24, 2020)","Royal Star Realty Inc., Brokerage",29.99 x 88.47 Feet,W4675229,No Data,2-Storey,"$2,620 /yr",Detached,22,64 Provence Trail,Toronto,West Humber-clairville,"$779,900 ",,,,,
301,6-15 years,"10 (Jan 24, 2020)","Re/max Realtron Bill Thom Group Realty Inc., Brokerage",50.00 x 160 Feet,C4675220,3500-5000 sqft,2-Storey,"$13,105 /yr",Detached,61,106 Olive Avenue,Toronto,Willowdale East,"$2,788,000 ",,,,,
302,No Data,"10 (Jan 24, 2020)","Century 21 Legacy Ltd., Brokerage",54.99 x 119.15 Feet,W4675095,No Data,Bungalow,"$3,450 /yr",Detached,54,36 Hobden Place,Toronto,Willowridge-martingrove-richview,"$999,000 ",,,,,
303,No Data,"10 (Jan 23, 2020)","Real One Realty Inc., Brokerage",42.83 x 160 Feet,C4675088,3500-5000 sqft,2-Storey,"$11,473 /yr",Detached,32,185 Olive Avenue,Toronto,Willowdale East,"$2,380,000 ",,,,,
304,No Data,"10 (Jan 23, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 122.5 Feet,E4675069,No Data,1 1/2 Storey,"$4,042 /yr",Detached,79,213 Chisholm Avenue,Toronto,Woodbine-lumsden,"$999,988 ",,,,,
305,51-99 years,"11 (Jan 23, 2020)","Re/max Realty Enterprises Inc., Brokerage",50.00 x 121.35 Feet,W4675040,1100-1500 sqft,Bungalow-Raised,"$3,330 /yr",Detached,33,55 Ladbrooke Road,Toronto,Willowridge-martingrove-richview,"$938,000 ",,,,,
306,No Data,"11 (Jan 23, 2020)","Century 21 People`s Choice Realty Inc., Brokerage",20.01 x 118.08 Feet,C4675024,No Data,3-Storey,"$6,000 /yr",Detached,88,362 Lansdowne Avenue,Toronto,Dufferin Grove,"$2,079,000 ",,,,,
307,0-5 years,"11 (Jan 23, 2020)","Keller Williams Referred Urban, Keitner Group, Brokerage",25.00 x 125 Feet,W4674978,No Data,2-Storey,No Data,Detached,85,98 Seventh Street,Toronto,New Toronto,"$1,599,000 ",,,,,
308,6-15 years,"11 (Jan 23, 2020)","First Class Realty Inc., Brokerage",39.50 x 50 Feet,C4675006,No Data,3-Storey,"$7,449 /yr",Detached,81,1566 Mount Pleasant Road,Toronto,Lawrence Park North,"$1,699,000 ",,,,,
309,No Data,"11 (Jan 23, 2020)","Royal Lepage Terrequity Realty, Brokerage",40.00 x 151 Feet,C4674959,No Data,2-Storey,"$12,220 /yr",Detached,50,519 Old Orchard Grove,Toronto,Bedford Park-nortown,"$2,728,000 ",,,,,
310,No Data,"11 (Jan 23, 2020)","Peter Kwan Realty Inc., Brokerage",48.00 x 110 Feet,E4674890,No Data,Sidesplit 4,"$3,650 /yr",Detached,45,160 Valdor Drive,Toronto,Agincourt North,"$849,900 ",,,,,
311,No Data,"11 (Jan 23, 2020)","Sutton Group-security Real Estate Inc., Brokerage",50.00 x 286 Feet,E4674716,No Data,2-Storey,"$4,226 /yr",Detached,23,54 Larwood Boulevard,Toronto,Cliffcrest,"$1,249,000 ",,,,,
312,No Data,"11 (Jan 23, 2020)","Royal Lepage/j & D Division, Brokerage",25.00 x 80 Feet,C4674736,No Data,2-Storey,"$8,090 /yr",Detached,79,97 Cranbrooke Avenue,Toronto,Lawrence Park North,"$2,199,000 ",,,,,
313,No Data,"11 (Jan 23, 2020)","Re/max Realtron Robert Kroll Realty, Brokerage",31.76 x 85.5 Feet,C4674727,No Data,3-Storey,"$10,471 /yr",Detached,85,126 Heath Street,Toronto,Yonge-st. Clair,"$2,695,000 ",,,,,
314,100 years,"11 (Jan 23, 2020)","Forest Hill Real Estate Inc., Brokerage",105.00 x 250 Feet,C4674649,5000 sqft,3-Storey,"$13,698 /yr",Detached,58,228 Stibbard Avenue,Toronto,Mount Pleasant East,"$6,999,000 ",,,,,
315,100 years,"11 (Jan 23, 2020)","Forest Hill Real Estate Inc., Brokerage",105.00 x 250 Feet,C4674632,5000 sqft,3-Storey,"$13,698 /yr",Detached,58,307 Blythwood Road,Toronto,Bridle Path-sunnybrook-york Mills,"$6,999,000 ",,,,,
316,No Data,"11 (Jan 23, 2020)","Cloud Realty, Brokerage",36.00 x 96 Feet,W4674564,No Data,Bungalow,"$2,987 /yr",Detached,75,2004 Lawrence Avenue,Toronto,Weston,"$699,000 ",,,,,
317,No Data,"11 (Jan 23, 2020)","Re/max Premier Inc., Brokerage",40.00 x 136 Feet,W4674553,700-1100 sqft,Bungalow,"$3,619 /yr",Detached,54,135 Playfair Avenue,Toronto,Yorkdale-glen Park,"$849,900 ",,,,,
318,No Data,"11 (Jan 23, 2020)","Re/max Realtron Realty Inc., Brokerage",75.00 x 121 Feet,E4674472,No Data,2-Storey,"$3,923 /yr",Detached,32,260 Guildwood Parkway,Toronto,Guildwood,"$1,189,000 ",,,,,
319,No Data,"11 (Jan 23, 2020)","Re/max Hallmark Jamie Dempster Group Realty, Brokerage",50.00 x 150 Feet,C4674488,No Data,Sidesplit 4,"$5,508 /yr",Detached,25,230 Goulding Avenue,Toronto,Newtonbrook West,"$1,499,000 ",,,,,
320,New,"11 (Jan 23, 2020)","Soltanian Real Estate Inc., Brokerage",50.00 x 139.5 Feet,C4674464,3500-5000 sqft,2-Storey,"$5,883 /yr",Detached,62,19 Irvington Crescent,Toronto,Willowdale East,"$2,588,000 ",,,,,
321,51-99 years,"11 (Jan 23, 2020)","Keller Williams Real Estate Associates, Brokerage",50.00 x 120 Feet,W4674410,1100-1500 sqft,1 1/2 Storey,"$3,038 /yr",Detached,60,18 Meadow Lane Avenue,Toronto,Downsview-roding-cfb,"$779,000 ",,,,,
322,51-99 years,"11 (Jan 23, 2020)","Ipro Realty Ltd., Brokerage",15.88 x 95 Feet,E4674427,No Data,2-Storey,"$3,151 /yr",Detached,62,1001 Greenwood Avenue,Toronto,Danforth Village-east York,"$879,000 ",,,,,
323,No Data,"11 (Jan 23, 2020)","Re/max Realty Enterprises Inc., Brokerage",39.99 x 131.5 Feet,W4674308,No Data,2-Storey,"$3,931 /yr",Detached,71,17 Thirty Eighth Street,Toronto,Long Branch,"$1,299,000 ",,,,,
324,No Data,"11 (Jan 23, 2020)","Re/max Imperial Realty Inc., Brokerage",50.00 x 112 Feet,C4674291,No Data,2-Storey,"$9,000 /yr",Detached,29,57 Ridelle Avenue,Toronto,Forest Hill North,"$2,299,000 ",,,,,
325,New,"11 (Jan 23, 2020)","Re/max Realtron Realty Inc., Brokerage",57.51 x 115 Feet,C4674277,3500-5000 sqft,2-Storey,No Data,Detached,65,27 Tobruk Crescent,Toronto,Newtonbrook East,"$3,388,000 ",,,,,
326,No Data,"11 (Jan 23, 2020)","Royal Lepage Signature Realty, Brokerage",60.00 x 126 Feet,C4674258,1100-1500 sqft,Bungalow,"$4,997 /yr",Detached,54,6 Redwillow Drive,Toronto,Parkwoods-donalda,"$1,250,900 ",,,,,
327,No Data,"11 (Jan 22, 2020)","Real Estate Homeward, Brokerage",143.95 x 376.73 Feet,E4674240,5000 sqft,2-Storey,"$12,787 /yr",Detached,25,37 Meadowcliffe Drive,Toronto,Cliffcrest,"$2,499,999 ",,,,,
328,16-30 years,"12 (Jan 22, 2020)","Re/max Dynamics Realty, Brokerage",50.00 x 130.3 Feet,C4674108,No Data,2-Storey,"$12,812 /yr",Detached,63,346 Elmwood Avenue,Toronto,Willowdale East,"$2,638,800 ",,,,,
329,No Data,"12 (Jan 22, 2020)","Re/max Crossroads Realty Inc., Brokerage",19.00 x 100 Feet,E4673952,1100-1500 sqft,2-Storey,"$3,621 /yr",Detached,83,191 Glebemount Avenue,Toronto,Woodbine-lumsden,"$1,049,000 ",,,,,
330,No Data,"12 (Jan 22, 2020)","Right At Home Realty Inc., Brokerage",38.00 x 239.91 Feet,E4673895,No Data,Bungalow-Raised,"$4,301 /yr",Detached,50,69 Bethune Boulevard,Toronto,Scarborough Village,"$1,258,888 ",,,,,
331,No Data,"12 (Jan 22, 2020)","Royal Lepage Realty Plus, Brokerage",58.02 x 89.99 Feet,E4673846,No Data,Bungalow,"$2,614 /yr",Detached,62,42 Falaise Road,Toronto,West Hill,"$699,900 ",,,,,
332,No Data,"12 (Jan 22, 2020)","Engel & Volkers Toronto Central, Brokerage",25.83 x 157.19 Feet,C4673837,2500-3000 sqft,3-Storey,"$14,410 /yr",Detached,85,37 Farnham Avenue,Toronto,Yonge-st. Clair,"$4,795,000 ",,,,,
333,New,"12 (Jan 22, 2020)","Forest Hill Real Estate Inc., Brokerage",33.01 x 110 Feet,E4673736,No Data,2-Storey,"$3,083 /yr",Detached,41,149 Ferris Road,Toronto,O'connor-parkview,"$1,798,888 ",,,,,
334,No Data,"12 (Jan 22, 2020)","Proxy Real Property Inc., Brokerage",40.00 x 99 Feet,E4673728,2500-3000 sqft,2-Storey,"$7,071 /yr",Detached,79,6 Lynndale Road,Toronto,Birchcliffe-cliffside,"$2,499,000 ",,,,,
335,No Data,"12 (Jan 22, 2020)","Re/max Premier Inc., Brokerage",26.00 x 120.58 Feet,W4673610,No Data,3-Storey,"$6,742 /yr",Detached,88,221 Pearson Avenue,Toronto,High Park-swansea,"$2,599,000 ",,,,,
336,No Data,"12 (Jan 22, 2020)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",100.00 x 165 Feet,C4673674,5000 sqft,3-Storey,"$21,136 /yr",Detached,36,31 Sandringham Drive,Toronto,Bedford Park-nortown,"$4,995,000 ",,,,,
337,No Data,"12 (Jan 22, 2020)","Psr, Brokerage",50.00 x 133 Feet,C4673633,No Data,2-Storey,"$8,192 /yr",Detached,68,157 Princess Avenue,Toronto,Willowdale East,"$3,695,000 ",,,,,
338,No Data,"12 (Jan 22, 2020)","Re/max Hallmark Realty Ltd., Brokerage",61.00 x 127.5 Feet,C4673614,No Data,2-Storey,"$11,744 /yr",Detached,24,207 Pemberton Avenue,Toronto,Newtonbrook East,"$2,690,000 ",,,,,
339,51-99 years,"12 (Jan 22, 2020)","Keller Williams Advantage Realty, Brokerage",40.50 x 102.2 Feet,W4673539,700-1100 sqft,Bungalow,"$4,078 /yr",Detached,78,16 Parker Avenue,Toronto,Stonegate-queensway,"$949,999 ",,,,,
340,100 years,"12 (Jan 22, 2020)","The Weir Team, Brokerage Inc., Brokerage",59.52 x 125 Feet,E4673581,3000-3500 sqft,2 1/2 Storey,"$9,621 /yr",Detached,75,2151 Gerrard Street,Toronto,East End-danforth,"$2,875,000 ",,,,,
341,No Data,"12 (Jan 22, 2020)","Right At Home Realty Inc., Brokerage",52.20 x 115 Feet,C4673600,No Data,Bungalow,"$5,003 /yr",Detached,48,168 Waterloo Avenue,Toronto,Bathurst Manor,"$1,399,000 ",,,,,
